"CODE","SNOMED_conceptId_description","PrimaryCode"
"92781000000107","Malaysian - ethnic category 2001 census (finding)","L"
"704388000","Melanau (ethnic group)","L"
"1340002","Malays (ethnic group)","L"
"315281001","Other Asian ethnic group (ethnic group)","L"
"2852001","Bhutanese (ethnic group)","L"
"704391000","Bidayuh (ethnic group)","L"
"2688009","Tristan da Cunhans (ethnic group)","L"
"110831000000107","Hindu - ethnic category 2001 census (finding)","L"
"32513008","Dyaks (ethnic group)","L"
"53195006","Kirghiz (ethnic group)","L"
"26215007","South Asian Aborigine (ethnic group)","L"
"48679001","Bogobos (ethnic group)","L"
"978221000000102","Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census ","L"
"275596000","East African Asian (NMO) (ethnic group)","L"
"718131000000106","Nepali (ethnic group)","L"
"296841000000102","Yemeni (ethnic group)","L"
"38361009","Koreans (ethnic group)","L"
"46723002","Badagas (ethnic group)","L"
"186013000","Other Asian (NMO) (ethnic group)","L"
"92641000000107","Punjabi - ethnic category 2001 census (finding)","L"
"275590006","Black Indo-Caribbean (ethnic group)","L"
"92751000000101","Vietnamese - ethnic category 2001 census (finding)","L"
"704392007","Iban (ethnic group)","L"
"10432001","Onge (ethnic group)","L"
"21993009","Indonesians (ethnic group)","L"
"63736003","Taiwanese (ethnic group)","L"
"83365001","Thais (ethnic group)","L"
"28796001","Siamese (ethnic group)","L"
"92661000000108","East African Asian - ethnic category 2001 census (finding)","L"
"92691000000102","Caribbean Asian - ethnic category 2001 census (finding)","L"
"315280000","Asian - ethnic group (ethnic group)","L"
"186044009","South East Asian (ethnic group)","L"
"94141000000107","Sikh - ethnic category 2001 census (finding)","L"
"91191002","Oraons (ethnic group)","L"
"12556008","Tamils (ethnic group)","L"
"44460002","Turks (ethnic group)","L"
"27683006","Ainu (ethnic group)","L"
"976881000000101","Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census ","L"
"978211000000108","Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census (finding)","L"
"24812003","Mongol (ethnic group)","L"
"92771000000105","Filipino - ethnic category 2001 census (finding)","L"
"270465005","E Afric Asian/Indo-Carib (NMO) (ethnic group)","L"
"414551003","Japanese (ethnic group)","L"
"704385002","Punjabi (ethnic group)","L"
"704387005","Kadazan (ethnic group)","L"
"275589002","Black East African Asian (ethnic group)","L"
"312859007","Vietnamese (ethnic group)","L"
"76768002","Filipinos (ethnic group)","L"
"20449009","Javanese (ethnic group)","L"
"275597009","Indo-Caribbean (NMO) (ethnic group)","L"
"81846005","Naiars (ethnic group)","L"
"90348007","Ghashgai (ethnic group)","L"
"47250000","Bruneians (ethnic group)","L"
"270462008","Black East African Asian/Indo-Caribbean (ethnic group)","L"
"976871000000103","Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding)","L"
"92431000000100","White and Black African - ethnic category 2001 census (finding)","E"
"977411000000108","Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census (finding)","E"
"977421000000102","Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census ","E"
"315635008","Black African and White (ethnic group)","E"
"413466005","Afro-Caucasian (ethnic group)","E"
"976731000000106","Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census (finding)","E"
"976741000000102","Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census ","E"
"92581000000100","Black and Asian - ethnic category 2001 census (finding)","G"
"186020007","Other ethnic, Black/White origin (ethnic group)","G"
"92451000000107","Other Mixed background - ethnic category 2001 census (finding)","G"
"186000006","Other Black - Black/Asian orig (ethnic group)","G"
"414752008","Mixed racial group (racial group)","G"
"186023009","Other ethnic, other mixed origin (ethnic group)","G"
"977561000000109","Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census ","G"
"185999009","Other Black - Black/White orig (ethnic group)","G"
"186019001","Other ethnic, mixed origin (ethnic group)","G"
"92631000000103","Mixed Asian - ethnic category 2001 census (finding)","G"
"977551000000106","Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding)","G"
"978051000000102","Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census (finding)","G"
"186022004","Other ethnic, mixed white origin (ethnic group)","G"
"92591000000103","Black and Chinese - ethnic category 2001 census (finding)","G"
"185998001","Black - other, mixed (ethnic group)","G"
"976781000000105","Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census ","G"
"978061000000104","Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census ","G"
"92621000000100","Other Mixed or Mixed unspecified - ethnic category 2001 census (finding)","G"
"110771000000104","Black and White - ethnic category 2001 census (finding)","G"
